number,company,symbol,ytd_return
307,WORKDAY INC CLASS A,WDAY,-2.19%
308,ESTEE LAUDER COMPANIES CL A,EL,-2.23%
309,GOLDMAN SACHS GROUP INC,GS,-2.26%
310,TRIMBLE INC,TRMB,-2.26%
311,NRG ENERGY INC,NRG,-2.36%
312,INTL FLAVORS + FRAGRANCES,IFF,-2.40%
313,UNITEDHEALTH GROUP INC,UNH,-2.45%
314,IQVIA HOLDINGS INC,IQV,-2.48%
315,MOODY S CORP,MCO,-2.51%
316,LOCKHEED MARTIN CORP,LMT,-2.53%
317,CROWDSTRIKE HOLDINGS INC   A,CRWD,-2.53%
318,CINCINNATI FINANCIAL CORP,CINF,-2.60%
319,ACCENTURE PLC CL A,ACN,-2.73%
320,TRUIST FINANCIAL CORP,TFC,-2.74%
321,JABIL INC,JBL,-2.74%
322,BROWN FORMAN CORP CLASS B,BF.B,-2.76%
323,BUNGE GLOBAL SA,BG,-2.78%
324,INTERNATIONAL PAPER CO,IP,-2.82%
325,CAPITAL ONE FINANCIAL CORP,COF,-2.89%
326,KEYSIGHT TECHNOLOGIES IN,KEYS,-2.95%
327,FREEPORT MCMORAN INC,FCX,-2.99%
328,INTUIT INC,INTU,-3.01%
329,FIRSTENERGY CORP,FE,-3.07%
330,CSX CORP,CSX,-3.13%
331,HOME DEPOT INC,HD,-3.13%
332,ROCKWELL AUTOMATION INC,ROK,-3.24%
333,CDW CORP/DE,CDW,-3.26%
334,DISCOVER FINANCIAL SERVICES,DFS,-3.30%
335,PPG INDUSTRIES INC,PPG,-3.32%
336,LEIDOS HOLDINGS INC,LDOS,-3.35%
337,CORNING INC,GLW,-3.35%
338,NASDAQ INC,NDAQ,-3.43%
339,CATERPILLAR INC,CAT,-3.43%
340,ANSYS INC,ANSS,-3.47%
341,INSULET CORP,PODD,-3.55%
342,UNITED PARCEL SERVICE CL B,UPS,-3.55%
343,JUNIPER NETWORKS INC,JNPR,-3.71%
344,UNIVERSAL HEALTH SERVICES B,UHS,-3.77%
345,ASSURANT INC,AIZ,-4.05%
346,HUNT (JB) TRANSPRT SVCS INC,JBHT,-4.22%
347,APPLIED MATERIALS INC,AMAT,-4.27%
348,ELECTRONIC ARTS INC,EA,-4.28%
349,EMERSON ELECTRIC CO,EMR,-4.29%
350,OCCIDENTAL PETROLEUM CORP,OXY,-4.39%
351,WW GRAINGER INC,GWW,-4.40%
352,APPLE INC,AAPL,-4.53%
353,HORMEL FOODS CORP,HRL,-4.56%
354,DR HORTON INC,DHI,-4.58%
355,KINDER MORGAN INC,KMI,-4.60%
356,CHARLES RIVER LABORATORIES,CRL,-4.70%
357,CITIZENS FINANCIAL GROUP,CFG,-4.84%
358,MERCK + CO. INC.,MRK,-4.86%
359,M + T BANK CORP,MTB,-4.93%
360,CONSTELLATION ENERGY,CEG,-4.99%
361,EDWARDS LIFESCIENCES CORP,EW,-5.00%
362,HONEYWELL INTERNATIONAL INC,HON,-5.03%
363,MORGAN STANLEY,MS,-5.11%
364,WALT DISNEY CO/THE,DIS,-5.24%
365,FIFTH THIRD BANCORP,FITB,-5.25%
366,WABTEC CORP,WAB,-5.43%
367,AGILENT TECHNOLOGIES INC,A,-5.69%
368,INGERSOLL RAND INC,IR,-5.78%
369,BANK OF AMERICA CORP,BAC,-5.80%
370,MARRIOTT INTERNATIONAL  CL A,MAR,-5.80%
371,BUILDERS FIRSTSOURCE INC,BLDR,-5.89%
372,BOOKING HOLDINGS INC,BKNG,-5.94%
373,PRUDENTIAL FINANCIAL INC,PRU,-6.15%
374,CARMAX INC,KMX,-6.16%
375,REGIONS FINANCIAL CORP,RF,-6.16%
376,AMERIPRISE FINANCIAL INC,AMP,-6.21%
377,BORGWARNER INC,BWA,-6.23%
378,MSCI INC,MSCI,-6.35%
379,COPART INC,CPRT,-6.36%
380,PUBLIC SERVICE ENTERPRISE GP,PEG,-6.39%
381,HP INC,HPQ,-6.41%
382,US BANCORP,USB,-6.50%
383,TRANE TECHNOLOGIES PLC,TT,-6.66%
384,DOW INC,DOW,-6.68%
385,MICROSOFT CORP,MSFT,-6.69%
386,PNC FINANCIAL SERVICES GROUP,PNC,-6.78%
387,HOST HOTELS + RESORTS INC,HST,-6.79%
388,JACOBS SOLUTIONS INC,J,-6.80%
389,ORACLE CORP,ORCL,-6.89%
390,HUNTINGTON BANCSHARES INC,HBAN,-6.95%
391,CLOROX COMPANY,CLX,-7.01%
392,SYNOPSYS INC,SNPS,-7.10%
393,BXP INC,BXP,-7.21%
394,ROYAL CARIBBEAN CRUISES LTD,RCL,-7.23%
395,BEST BUY CO INC,BBY,-7.45%
396,COOPER COS INC/THE,COO,-7.54%
397,MGM RESORTS INTERNATIONAL,MGM,-7.56%
398,MARKETAXESS HOLDINGS INC,MKTX,-7.57%
399,DANAHER CORP,DHR,-7.61%
400,BLACKROCK INC,BLK,-7.63%
401,RAYMOND JAMES FINANCIAL INC,RJF,-7.70%
402,ALPHABET INC CL C,GOOG,-7.71%
403,FAIR ISAAC CORP,FICO,-7.88%
404,DOLLAR TREE INC,DLTR,-7.94%
405,AMERICAN EXPRESS CO,AXP,-7.95%
406,HALLIBURTON CO,HAL,-8.05%
407,ALPHABET INC CL A,GOOGL,-8.16%
408,LENNAR CORP A,LEN,-8.20%
409,PACKAGING CORP OF AMERICA,PKG,-8.21%
410,KEYCORP,KEY,-8.23%
411,FACTSET RESEARCH SYSTEMS INC,FDS,-8.23%
412,MOTOROLA SOLUTIONS INC,MSI,-8.46%
413,AKAMAI TECHNOLOGIES INC,AKAM,-8.50%
414,KIMCO REALTY CORP,KIM,-8.54%
415,CONOCOPHILLIPS,COP,-8.61%
416,STATE STREET CORP,STT,-8.66%
417,EQUINIX INC,EQIX,-8.84%
418,AMAZON.COM INC,AMZN,-9.18%
419,AMPHENOL CORP CL A,APH,-9.39%
420,FEDERAL REALTY INVS TRUST,FRT,-9.50%
421,CF INDUSTRIES HOLDINGS INC,CF,-9.60%
422,NVR INC,NVR,-9.61%
423,FEDEX CORP,FDX,-9.74%
